Coin,Date,Open,High,Low,Close,Market Cap,Volume,LogReturn,RealizedVol,H-L,H-PC,L-PC,TR,ATR,garch_vol
Ethereum,2025-09-25 00:00:00,4148.65682762035,4148.65682762035,4148.65682762035,4148.65682762035,500734284408.361,29988924904.58222,-0.004217455222059313,,0.0,17.53372225717976,17.53372225717976,17.53372225717976,79.94244081026123,0.033557527178884945
Ethereum,2025-09-26 00:00:00,3863.0632875907245,3863.0632875907245,3863.0632875907245,3863.0632875907245,466825639887.3833,63461265827.195854,-0.07132415929368231,,0.0,285.5935400296253,285.5935400296253,285.5935400296253,92.35324993179422,0.03244395503481025
Ethereum,2025-09-27 00:00:00,4037.0979210260916,4037.0979210260916,4037.0979210260916,4037.0979210260916,486889364203.26996,43443403793.85234,0.04406563090025654,,0.0,174.03463343536714,174.03463343536714,174.03463343536714,86.96124316637936,0.03799595008769006
Ethereum,2025-09-28 00:00:00,4018.167453105732,4018.167453105732,4018.167453105732,4018.167453105732,485207355886.1105,17011629273.367075,-0.004700156206223062,,0.0,18.93046792035966,18.93046792035966,18.93046792035966,85.37469862357099,0.03812360042765507
Ethereum,2025-09-29 00:00:00,4141.839664086501,4141.839664086501,4141.839664086501,4141.839664086501,499628731251.1227,21656522951.624653,0.03031411118304931,,0.0,123.67221098076925,123.67221098076925,123.67221098076925,90.07174643080212,0.03507038334874753
Ethereum,2025-09-30 00:00:00,4215.61278947927,4215.61278947927,4215.61278947927,4215.61278947927,508909498092.11896,34604598514.675,0.01765491147557985,,0.0,73.77312539276863,73.77312539276863,73.77312539276863,89.23117168398059,0.03502182491718809
Ethereum,2025-10-01 00:00:00,4144.230463371581,4144.230463371581,4144.230463371581,4144.230463371581,500218841768.296,34013325290.49775,-0.01707784675982199,,0.0,71.38232610768864,71.38232610768864,71.38232610768864,92.9028875788368,0.03398194336078268
Ethereum,2025-10-02 00:00:00,4343.951983440489,4343.951983440489,4343.951983440489,4343.951983440489,524308225825.147,42741046618.56157,0.047067411875981305,,0.0,199.72152006890792,199.72152006890792,199.72152006890792,100.91855624029346,0.0329128726364775
Ethereum,2025-10-03 00:00:00,4484.006245909478,4484.006245909478,4484.006245909478,4484.006245909478,540553843152.3364,41104321433.11955,0.031732369106731745,,0.0,140.05426246898878,140.05426246898878,140.05426246898878,110.84157090823464,0.03587801984920957
Ethereum,2025-10-04 00:00:00,4515.759068159723,4515.759068159723,4515.759068159723,4515.759068159723,545075315730.44794,45970576945.09693,0.007056396005228677,0.5271172803938252,0.0,31.752822250245117,31.752822250245117,31.752822250245117,104.52696798295723,0.03559967474473712
Ethereum,2025-10-05 00:00:00,4487.706651673285,4487.706651673285,4487.706651673285,4487.706651673285,541611848322.7991,20597928707.86516,-0.00623149088044746,0.5123408154299809,0.0,28.052416486438233,28.052416486438233,28.052416486438233,105.72214070635839,0.033796273330832974
Ethereum,2025-10-06 00:00:00,4515.321391965295,4515.321391965295,4515.321391965295,4515.321391965295,545075062109.96124,40355486904.311195,0.00613456422882406,0.5126009074779788,0.0,27.614740292010538,27.614740292010538,27.614740292010538,105.62831201362211,0.032581858402342186
Ethereum,2025-10-07 00:00:00,4689.131734746596,4689.131734746596,4689.131734746596,4689.131734746596,566339901682.9528,41164885082.65789,0.037771066640118554,0.5265610264573704,0.0,173.81034278130028,173.81034278130028,173.81034278130028,99.97766818655418,0.03207361714957841
Ethereum,2025-10-08 00:00:00,4454.32846286666,4454.32846286666,4454.32846286666,4454.32846286666,537522914209.85065,49804861778.9329,-0.05137112242712116,0.5594229284265436,0.0,234.8032718799359,234.8032718799359,234.8032718799359,114.33781445368466,0.034251971543127036
Ethereum,2025-10-09 00:00:00,4527.578004547945,4527.578004547945,4527.578004547945,4527.578004547945,546454608029.64813,36623453162.8216,0.016310827974250278,0.5619203413456385,0.0,73.24954168128534,73.24954168128534,73.24954168128534,118.31751584112077,0.03591547905269617
Ethereum,2025-10-10 00:00:00,4368.649439385323,4368.649439385323,4368.649439385323,4368.649439385323,527213250874.5829,42731695438.879875,-0.03573323111371785,0.576860022594551,0.0,158.92856516262236,158.92856516262236,158.92856516262236,109.27001763633484,0.03440227182896133
Ethereum,2025-10-11 00:00:00,3835.632842050135,3835.632842050135,3835.632842050135,3835.632842050135,463578765352.86365,90784076986.425,-0.13011946987954146,0.7337466964033923,0.0,533.0165973351877,533.0165973351877,533.0165973351877,134.91158648632202,0.034316373991702315
Ethereum,2025-10-12 00:00:00,3749.218185954949,3749.218185954949,3749.218185954949,3749.218185954949,453043143808.8669,54140013164.198265,-0.022787104187854717,0.7285329990455713,0.0,86.41465609518582,86.41465609518582,86.41465609518582,139.73188564166676,0.05103711213028422
Ethereum,2025-10-13 00:00:00,4159.729307791921,4159.729307791921,4159.729307791921,4159.729307791921,501175375996.802,57642806541.61372,0.10390266741246973,0.7971823435673882,0.0,410.51112183697205,410.51112183697205,410.51112183697205,160.22037927425268,0.04342624287378711
Ethereum,2025-10-14 00:00:00,4246.217461554773,4246.217461554773,4246.217461554773,4246.217461554773,512317800004.74445,46426992105.166855,0.020578575683499658,0.8015939571470675,0.0,86.48815376285165,86.48815376285165,86.48815376285165,161.12859558640145,0.05101032810273345
Ethereum,2025-10-15 00:00:00,4128.888447033946,4128.888447033946,4128.888447033946,4128.888447033946,498801738230.5064,62876294833.97642,-0.028020348003232054,0.8056910389665529,0.0,117.3290145208266,117.3290145208266,117.3290145208266,164.4105019016256,0.04374272976007128
