Coin,Date,Open,High,Low,Close,Market Cap,Volume,LogReturn,RealizedVol,H-L,H-PC,L-PC,TR,ATR,garch_vol
Bitcoin,2025-11-03 00:00:00,110650.2092823146,110650.2092823146,110650.2092823146,110650.2092823146,2201849942058.28,35098774843.7742,0.0057650951875724684,0.4082815884530293,0.0,636.0737145537278,636.0737145537278,636.0737145537278,1462.8470031425709,0.02271079414535475
Bitcoin,2025-11-04 00:00:00,106521.08673825761,106521.08673825761,106521.08673825761,106521.08673825761,2123664079961.7026,75068433317.86293,-0.038030994792491835,0.425407301273588,0.0,4129.122544056983,4129.122544056983,4129.122544056983,1615.8245680153195,0.022796536699889233
Bitcoin,2025-11-05 00:00:00,101635.2740227234,101635.2740227234,101635.2740227234,101635.2740227234,2026091188341.184,108965721650.60309,-0.0469523029403287,0.4469999052689925,0.0,4885.812715534208,4885.812715534208,4885.812715534208,1813.2062715463264,0.022881331603743397
Bitcoin,2025-11-06 00:00:00,103877.95965955159,103877.95965955159,103877.95965955159,103877.95965955159,2073000557933.8025,77083907216.62631,0.021826085127884066,0.45424240776565644,0.0,2242.685636828188,2242.685636828188,2242.685636828188,1911.4212487750544,0.02296519393853082
Bitcoin,2025-11-07 00:00:00,101322.6402945857,101322.6402945857,101322.6402945857,101322.6402945857,2019147576692.263,64118217249.57436,-0.024906861519002066,0.4534142588477356,0.0,2555.3193649658933,2555.3193649658933,2555.3193649658933,1920.3660890314827,0.023048138417933028
Bitcoin,2025-11-08 00:00:00,103396.084215925,103396.084215925,103396.084215925,103396.084215925,2063021740892.1375,93627003785.31018,0.02025720734362501,0.4568581705931288,0.0,2073.4439213393052,2073.4439213393052,2073.4439213393052,2000.6630763856697,0.02313017940190476
Bitcoin,2025-11-09 00:00:00,102290.13714655167,102290.13714655167,102290.13714655167,102290.13714655167,2039995976869.1492,51095924202.31797,-0.010753833874974092,0.4563813372868134,0.0,1105.947069373331,1105.947069373331,1105.947069373331,2035.1946526381632,0.02321133090752414
Bitcoin,2025-11-10 00:00:00,104709.67861656273,104709.67861656273,104709.67861656273,104709.67861656273,2086419359800.0503,59952468437.71812,0.02337829779290122,0.3991900397568764,0.0,2419.541470011056,2419.541470011056,2419.541470011056,2004.040264642498,0.023291606620964318
Bitcoin,2025-11-11 00:00:00,105909.07272321742,105909.07272321742,105909.07272321742,105909.07272321742,2112747067951.9028,67546556819.52642,0.011389366466321865,0.39639738576610506,0.0,1199.3941066546977,1199.3941066546977,1199.3941066546977,2068.7671403308227,0.023371019909080738
Bitcoin,2025-11-12 00:00:00,102960.77564500563,102960.77564500563,102960.77564500563,102960.77564500563,2053215927640.825,71008299178.73956,-0.028232824770159967,0.3797617013891613,0.0,2948.297078211792,2948.297078211792,2948.297078211792,2191.3279462407436,0.023449583829208285
Bitcoin,2025-11-13 00:00:00,101521.70859453593,101521.70859453593,101521.70859453593,101521.70859453593,2025837265459.7573,63332414142.58827,-0.014075443327215812,0.38114662290229845,0.0,1439.0670504697046,1439.0670504697046,1439.0670504697046,2086.7127802584446,0.02352731114039989
Bitcoin,2025-11-14 00:00:00,99730.4533956204,99730.4533956204,99730.4533956204,99730.4533956204,1996168972711.9963,100463341916.4732,-0.017801572757459416,0.381015487266056,0.0,1791.2551989155327,1791.2551989155327,1791.2551989155327,2085.666439387008,0.023604214312131375
Bitcoin,2025-11-15 00:00:00,94456.39368235337,94456.39368235337,94456.39368235337,94456.39368235337,1891799949910.1116,113198323665.38873,-0.05433279514691243,0.4152414388154408,0.0,5274.059713267023,5274.059713267023,5274.059713267023,2367.160685403654,0.023680305534627834
Bitcoin,2025-11-16 00:00:00,95508.31019889197,95508.31019889197,95508.31019889197,95508.31019889197,1905234340631.9912,39062120798.23745,0.011074976002743254,0.41333463612267696,0.0,1051.916516538593,1051.916516538593,1051.916516538593,2410.8525786228597,0.023755596727809965
Bitcoin,2025-11-17 00:00:00,94411.32947182967,94411.32947182967,94411.32947182967,94411.32947182967,1883240679702.7427,72645149972.7847,-0.011552179948724971,0.41228962814619935,0.0,1096.9807270622987,1096.9807270622987,1096.9807270622987,2443.7745080877576,0.02383009954750756
Bitcoin,2025-11-18 00:00:00,92036.7255045672,92036.7255045672,92036.7255045672,92036.7255045672,1835458818945.8962,95794596045.06412,-0.025473393880737792,0.4170384286857258,0.0,2374.603967262461,2374.603967262461,2374.603967262461,2318.4517526024347,0.02390382539756495
Bitcoin,2025-11-19 00:00:00,92819.75921500899,92819.75921500899,92819.75921500899,92819.75921500899,1851234710246.605,103837258806.01602,0.008471852042050101,0.41453625582369646,0.0,783.0337104417849,783.0337104417849,783.0337104417849,2025.3961093815471,0.02397678543525222
Bitcoin,2025-11-20 00:00:00,91363.27838693369,91363.27838693369,91363.27838693369,91363.27838693369,1820062799702.324,82897875507.45229,-0.015815910168723395,0.4072952501075404,0.0,1456.480828075306,1456.480828075306,1456.480828075306,1969.2386230420557,0.02404899057897757
